,audi,bmw,cadillac,engine,honda,lexus,miles,performance,price
audi, ,0.0001551315988169319,0.00030188368251511216,0.0001545491356248667,0.00015873678311338727,0.0002205355748932996,0.00015990167768840233,0.00015713125935942822,0.00017403700909489095
bmw, , ,0.00017453318243648328,0.00014710317548257106,0.00010938824623294224,0.00018681985895100645,0.00012122220352305251,0.00014976645792966588,0.00015630051119603969
cadillac, , , ,0.00011519604036262158,0.00015517570664629486,0.0003773548855516069,9.281441320276272e-05,0.00016221660516962537,0.00019463018289309368
engine, , , , ,0.0001502138528399571,0.00014025852813864006,0.00017488097785480755,0.00019509625321822817,0.00014558562720935216
honda, , , , , ,0.00015431771699852702,0.0001879392533712514,0.00014049243858617273,0.00014671361502347418
lexus, , , , , , ,0.0001049404200765016,0.0001771251083606678,0.00016971663242732282
miles, , , , , , , ,0.00010970700914756988,0.0001492232792656695
performance, , , , , , , , ,0.00016392163570535815
price, , , , , , , , , 
